Distrito,Tmin_Media_C
MARCA,5.95
CHORAS,5.98
SANTIAGO DE QUIRAHUARA,6.0
TAPACOCHA,6.0
KISHUARA,6.01
CACHICADAN,6.01
MOLLEPATA,6.02
SAN PEDRO DE CHAULAN,6.02
PUCARA,6.03
CERRO COLORADO,6.04
VILCABAMBA,6.04
COTAHUASI,6.07
HUAYLLACAYAN,6.07
NAVAN,6.08
HUANTA,6.09
ULCUMAYO,6.09
HUACHOCOLPA,6.09
COLCA,6.1
SAN JAVIER DE ALPABAMBA,6.11
MACHUPICCHU,6.13
OLLEROS,6.14
LEONCIO PRADO,6.14
TANTAMAYO,6.16
MASIN,6.17
SAN SILVESTRE DE COCHAN,6.17
SAN FRANCISCO DE ASIS,6.18
TOMEPAMPA,6.19
PAUCARTAMBO,6.21
ANDAHUAYLILLAS,6.21
SAN CRISTOBAL,6.21
MARIAS,6.23
TUMBADEN,6.27
CHILCAYOC,6.29
COSME,6.31
SAN ISIDRO,6.31
SARIN,6.32
JUSTO APU SAHUARAURA,6.32
CHUMPI,6.35
LACABAMBA,6.36
QUISQUI (KICHKI),6.36
QUECHUALLA,6.37
SOROCHUCO,6.38
QUINUA,6.4
AYO,6.4
CALLANMARCA,6.41
COTABAMBAS,6.42
ACZO,6.45
SITABAMBA,6.46
ACOS VINCHOS,6.47
SAN ANDRES DE TUPICOCHA,6.48
MARIATANA,6.49
POLOBAYA,6.5
CATILLUC,6.5
PACCARITAMBO,6.51
CURAHUASI,6.53
SANTILLANA,6.53
CASCA,6.55
HUALGAYOC,6.56
ALTO SELVA ALEGRE,6.6
ONGOY,6.6
SANDIA,6.61
CCAPI,6.61
PACUCHA,6.62
PAUSA,6.65
CONGAS,6.65
HUARIACA,6.65
CAJA,6.66
GREGORIO PITA,6.68
CAHUACHO,6.69
MARIANO MELGAR,6.7
SAN PEDRO DE CORIS,6.7
SANTIAGO DE CHOCORVOS,6.7
CORONGO,6.73
NAMORA,6.73
CARAZ,6.74
COLCHA,6.77
HUAYLLATI,6.79
HUALLANCA,6.8
LOS BANOS DEL INCA,6.82
LA MERCED,6.84
MATO,6.84
SUCCHA,6.85
JULCAN,6.88
SAN MIGUEL DE CHACCRAMPA,6.88
SAN FRANCISCO DE SANGAYAICO,6.95
MUSGA,6.96
HUANCHAY,6.96
SANTA ANA DE HUAYCAHUACHO,6.97
TAYABAMBA,6.98
SUCRE,6.98
SAN PEDRO DE PILAS,6.98
TAPAIRIHUA,6.99
CANGALLO,7.01
SANTO DOMINGO DE ACOBAMBA,7.02
LAHUAYTAMBO,7.07
HUANGASCAR,7.07
CAYARA,7.08
SORAYA,7.09
HUAYLLAN,7.11
QUEROBAMBA,7.12
CALAMARCA,7.12
HUACCHIS,7.13
JULCAMARCA,7.15
HUASMIN,7.17
SAN MATEO DE OTAO,7.18
HUAYTARA,7.19
MACHE,7.2
SAN BUENAVENTURA,7.24
MALVAS,7.24
QUIVILLA,7.26
HUANCARAMA,7.29
SANTIAGO DE CHUCO,7.3
PANAO,7.32
CHECRAS,7.32
MOLLEBAMBA,7.33
CURGOS,7.36
HUACHIS,7.39
HUACAYBAMBA,7.4
TALAVERA,7.43
LANGA,7.47
ALCAMENCA,7.48
ACCOMARCA,7.49
MOLINO,7.53
SIHUAS,7.54
SANTA MARIA DEL VALLE,7.55
SAN JERONIMO,7.56
SANTO TOMAS,7.56
ANGASMARCA,7.57
HUANDOVAL,7.57
ANRA,7.59
URANMARCA,7.6
AGALLPAMPA,7.62
OCOYO,7.67
QUICACHA,7.68
PAMPAROMAS,7.69
ACOBAMBA,7.69
QUITO-ARMA,7.7
TONGOD,7.7
LEIMEBAMBA,7.72
CHAPIMARCA,7.75
PACHAMARCA,7.77
AYAVI,7.78
SAN JUAN,7.79
ANCO,7.8
AYAHUANCO,7.83
ATAVILLOS BAJO,7.86
SAN ANTONIO DE CACHI,7.88
ELEAZAR GUZMAN BARRON,7.88
UNON,7.88
GRANADA,7.89
HUAMACHUCO,7.9
CARABAMBA,7.9
PINRA,7.92
MARIA,7.93
LONGUITA,7.94
HUANCASPATA,7.95
OCOBAMBA,7.95
MIRAFLORES,7.95
CHINCHIHUASI,7.95
YAUYA,7.98
AREQUIPA,7.99
SAN MIGUEL DE MAYOCC,7.99
PUTINZA,8.0
SAN FRANCISCO,8.02
SURCO,8.05
HUACAR,8.08
LLACANORA,8.08
CHAVIN DE PARIARCA,8.08
CHURUBAMBA,8.12
CORCULLA,8.12
CURIBAYA,8.14
CHILCAS,8.16
COLCABAMBA,8.18
TAURIA,8.19
IHUAYLLO,8.19
TIPAN,8.21
ANDABAMBA,8.23
ROBLE,8.23
ACOPAMPA,8.23
PHARA,8.24
CALQUIS,8.24
ROCCHACC,8.24
FIDEL OLIVAS ESCUDERO,8.25
PARIACOTO,8.26
PONTO,8.27
PUCACOLPA,8.29
SAN JOSE DE TICLLAS,8.29
QUEQUENA,8.3
OTOCA,8.31
CHICHAS,8.31
CANCHABAMBA,8.32
SAN JUAN DE YANAC,8.32
TICRAPO,8.32
PAUCAS,8.33
MATACOTO,8.36
MONOBAMBA,8.37
TORO,8.41
SANTIAGO,8.41
CARHUAPAMPA,8.42
SAURAMA,8.42
HUAYLILLAS,8.48
SANAGORAN,8.48
CHUGUR,8.52
QUINUABAMBA,8.52
SAN JOSE DE USHUA,8.52
IRAY,8.54
SALCABAMBA,8.56
CHETILLA,8.57
CHALCOS,8.57
UCHUMARCA,8.58
CHINGAS,8.58
POCOHUANCA,8.59
COCHARCAS,8.61
PISCOBAMBA,8.61
TAMBILLO,8.63
ABELARDO PARDO LEZAMETA,8.63
LLAMELLIN,8.7
SAISA,8.71
PACHIA,8.71
HEROES ALBARRACIN,8.73
HUACACHI,8.73
JOSE MANUEL QUIROZ,8.76
CHINCHEROS,8.76
MANGAS,8.76
CHUGAY,8.77
ARANCAY,8.8
PULLO,8.8
CHUNGUI,8.82
JOSE GALVEZ,8.83
MARCABAL,8.85
ANCHIHUAY,8.87
YARABAMBA,8.87
HUACRACHUCO,8.89
AMASHCA,8.92
MIGUEL IGLESIAS,8.92
SAN FRANCISCO DEL YESO,8.93
MARCAS,8.94
SICSIBAMBA,8.95
MATARA,8.98
TINTAY PUNCU,8.98
LA UNION,9.0
CACHACHI,9.01
CHALAMARCA,9.01
PARANDAY,9.02
TIABAYA,9.04
QUINJALCA,9.05
EL PRADO,9.06
ABANCAY,9.08
SAYLA,9.08
CAPILLAS,9.09
LLAUTA,9.09
LA LIBERTAD DE PALLAN,9.09
HUAMPARA,9.09
ONGON,9.13
GUZMANGO,9.13
SAN FRANCISCO DE CAYRAN,9.14
SAN MIGUEL,9.14
ORONCCOY,9.17
HUASO,9.2
MARISCAL CASTILLA,9.22
SANTIAGO DE PISCHA,9.24
JACOBO HUNTER,9.24
SANTA ROSA,9.28
NINABAMBA,9.33
JIRCAN,9.34
PAUCARPATA,9.35
CACERES DEL PERU,9.37
QUILLO,9.37
TAURIPAMPA,9.41
ANDARAY,9.42
PEDRO GALVEZ,9.46
LA CUESTA,9.48
CHAVIN,9.49
INKAWASI,9.49
SANTA CRUZ DE CHUCA,9.49
QUEROCOTO,9.49
SIVIA,9.49
IGUAIN,9.5
LAMPIAN,9.53
AMBO,9.55
PULAN,9.55
CALLAHUANCA,9.56
MONTEVIDEO,9.56
JESUS NAZARENO,9.57
YANATILE,9.59
PIAS,9.59
CORIS,9.6
SAN PEDRO DE CACHORA,9.6
HUANIPACA,9.61
PAROBAMBA,9.63
HUAYOPATA,9.64
UCO,9.66
SAN PEDRO,9.68
CHOTA,9.69
LA PRIMAVERA,9.69
OXAMARCA,9.7
ALFONSO UGARTE,9.74
TIBILLO,9.76
SAMUGARI,9.76
RANRAHIRCA,9.76
COCHAS,9.78
SHUNTE,9.79
SOLOCO,9.82
OCANA,9.84
OMAS,9.9
BAMBAS,9.91
LLAPO,9.91
SAN JUAN DE LOPECANCHA,9.93
CANARIS,9.95
LA JALCA,9.95
CHILLIA,9.97
COLCAMAR,9.98
ANDAYMARCA,9.98
USQUIL,9.99
PACCHO,10.0
COMAS,10.01
AYACUCHO,10.02
INGUILPATA,10.05
MOLINOPAMPA,10.09
OTUZCO,10.11
COSPAN,10.12
SALCAHUASI,10.12
LLACLLIN,10.14
VITOC,10.16
CATAHUASI,10.17
CHIGUIRIP,10.19
ILABAYA,10.19
CHUQUIBAMBA,10.2
SANTA EULALIA,10.2
CONDORMARCA,10.23
SAN ISIDRO DE MAINO,10.26
COCHABAMBA,10.26
CONCHAN,10.27
COCHORCO,10.29
YUPAN,10.29
PACOBAMBA,10.29
ARAHUAY,10.3
LUYA,10.32
HUANCABAMBA,10.33
TINGO,10.36
PARCOY,10.37
CARAVELI,10.4
CHONTABAMBA,10.4
INCAHUASI,10.41
KAQUIABAMBA,10.45
PACAYCASA,10.46
CHACCHO,10.53
HUANUHUANU,10.55
TACABAMBA,10.57
SOCOTA,10.57
AMBAR,10.61
IHUARI,10.62
ACAS,10.62
LEVANTO,10.65
QUICHES,10.65
LA CAPILLA,10.65
SAN ANTONIO,10.66
EL CARMEN DE LA FRONTERA,10.69
EL CARMEN,10.71
HUAYAN,10.71
VILLA VIRGEN,10.72
CHINCHO,10.73
YAUYUCAN,10.75
TAUCA,10.76
PARARIN,10.77
QUISHUAR,10.78
SAN NICOLAS,10.84
LAMUD,10.85
JOSE SABOGAL,10.86
LUCMA,10.88
LAJAS,10.9
HUAC-HUAS,10.9
QUINOCAY,10.91
HUARANCHAL,10.92
PALLASCA,10.94
CAJABAMBA,10.95
SONDORILLO,10.95
CHOLON,10.98
SANTA CRUZ DE TOLED,11.02
HUANCANO,11.02
YANAQUIHUA,11.05
CHONTALI,11.05
CHILIQUIN,11.07
HUANCAPON,11.08
CONTUMAZA,11.08
EDUARDO VILLANUEVA,11.09
COCHAMAL,11.12
JORGE CHAVEZ,11.13
SANTIAGO DE TUNA,11.15
MAGDALENA,11.15
LURICOCHA,11.15
YANAC,11.15
URPAY,11.17
CONILA,11.17
LOS CHANKAS,11.17
AYNA,11.17
JUMBILLA,11.19
SANTIAGO DE CHALLAS,11.19
SAN ANDRES DE CUTERVO,11.21
HUAMBO,11.22
SAUCEPAMPA,11.22
UCHUMAYO,11.3
PILLCO MARCA,11.32
LONYA CHICO,11.32
ASUNCION,11.33
INDEPENDENCIA,11.43
CHOCOS,11.46
MANAS,11.47
ANDARAPA,11.54
CHINCHAO,11.56
LONGAR,11.58
UMARI,11.6
SAN BARTOLOME,11.61
YANAHUAYA,11.61
SURCUBAMBA,11.63
SAN LUIS DE LUCMA,11.66
CHUMUCH,11.68
CUTERVO,11.72
MARISCAL BENAVIDES,11.72
HUACCANA,11.73
TOMAY KICHWA,11.74
UTCO,11.75
ALTO DE LA ALIANZA,11.76
CHETO,11.77
BAMBAMARCA,11.77
LA JOYA,11.77
CIUDAD NUEVA,11.82
VITOR,11.85
CONCHAMARCA,11.85
CALANA,11.86
LLAMA,11.87
HUAMBOS,11.9
CHISQUILLA,11.91
SAN JUAN DE SIGUAS,11.92
ICHOCAN,11.93
TABACONAS,11.94
HUAMANTANGA,11.95
SAN JOSE,11.95
LA PAMPA,11.97
SUMBILCA,12.0
QUEROCOTILLO,12.02
PUEBLO LIBRE,12.05
SANTA RITA DE SIGUAS,12.11
CHADIN,12.15
MIRACOSTA,12.16
ANGUIA,12.17
LUYA VIEJO,12.19
LIMABAMBA,12.21
MOQUEGUA,12.24
SAN RAMON,12.25
YAUCA DEL ROSARIO,12.26
SAN FRANCISCO DE DAGUAS,12.27
HUANCARQUI,12.27
SAN PABLO DE PILLAO,12.27
APLAO,12.27
HUICUNGO,12.28
SANTA ISABEL DE SIGUAS,12.3
POCOLLAY,12.3
SAN MIGUEL DE ACOS,12.31
MACATE,12.33
SAYAPULLO,12.39
CHACHAPOYAS,12.4
SALLIQUE,12.42
CHARAT,12.43
SAMEGUA,12.44
COCHAPETI,12.45
TACNA,12.45
TAURIJA,12.49
INCLAN,12.52
MAJES,12.52
CHAPARRA,12.55
UTICYACU,12.59
MONZON,12.61
SONCHE,12.61
MARIANO NICOLAS VALCARCEL,12.65
SEXI,12.65
