DISTRITO,mean,min,max,std,percentile_10,percentile_90,range_temp
TISCO,-2.369338714599609,-3.6595174789428713,-0.11795792132616043,0.848294849473894,-3.4139869689941404,-1.0953702569007873,3.5415595576167105
CAMILACA,-2.241535077776228,-5.776913833618164,2.9583080768585206,2.827509788878324,-5.430071449279785,1.8029325962066651,8.735221910476685
NUNOA,-2.1493655957673723,-4.670288753509522,0.8471662521362304,1.553351426881774,-4.091402149200439,0.18470845222473145,5.517455005645752
ANTAUTA,-2.140442117055257,-3.684083890914917,0.6045753479003906,1.1543710783113248,-3.4026182651519776,-0.34897646903991697,4.288659238815308
CHOJATA,-2.0814532725016273,-5.551601409912109,5.991712665557861,3.3834761951706285,-5.032760429382324,3.735904502868652,11.54331407546997
POTONI,-2.0035357599673063,-3.2952120780944822,-0.9922319531440735,0.604024170216216,-2.6856832027435305,-1.098088562488556,2.302980124950409
LARI,-1.9649861199515208,-3.5007397174835204,3.350709104537964,2.073837662562042,-3.3122962474823,1.3348428010940552,6.851448822021484
HUACULLANI,-1.9240907578241255,-3.340045213699341,-0.7118077754974366,0.7750263527896142,-3.0879313468933107,-1.072809374332428,2.6282374382019045
OCORURO,-1.5298987822099166,-3.4351059913635256,-0.7381366610527038,0.9181089069201871,-3.2118139266967773,-0.7517712652683258,2.6969693303108215
CABANILLAS,-1.5139955066499255,-3.237102746963501,2.273135232925415,1.0916685531711352,-2.5187518119812013,-0.2451634079217911,5.510237979888916
PUTINA,-1.4961920121136836,-3.5925214290618896,1.1806139469146728,1.6377605643478492,-3.424206352233887,0.5118506073951721,4.773135375976563
UBINAS,-1.4302656555175781,-4.623140811920166,4.600434589385986,2.1503747580750803,-3.8293472290039063,1.746440601348877,9.223575401306153
TAPAY,-1.4188004970550536,-3.249416780471802,5.259940814971924,2.3245853188075394,-3.107362413406372,0.9906665086746216,8.509357595443726
CHACHAS,-1.4139397783977228,-3.48224515914917,7.330667400360108,2.023929636896226,-2.7613269805908205,-0.032359904050827025,10.812912559509277
PALLPATA,-1.3712713044265221,-1.8505618810653686,-0.7038596928119659,0.26544798731597385,-1.660768175125122,-1.016301655769348,1.1467021882534028
LLOQUE,-1.3571578131781685,-3.767250728607178,3.0813737392425535,2.441981630496666,-3.672658348083496,2.7122709274291994,6.8486244678497314
KELLUYO,-1.3415794821346507,-2.4704920768737795,-0.7113324284553528,0.46266222833662674,-1.9805710077285767,-0.8844198107719421,1.7591596484184264
MACA,-1.2438708662986755,-2.8438515186309816,2.24181752204895,1.6480281206469507,-2.5461190700531007,1.1345951676368713,5.085669040679932
UMACHIRI,-1.242458123427171,-1.8939068794250489,-0.24074341729283333,0.5053776433730508,-1.8099439144134521,-0.7588336646556855,1.6531634621322155
ALTO PICHIGUA,-1.1513287734985351,-1.7555344820022583,-0.22455973029136658,0.3488509715631928,-1.4874274492263795,-0.8713620126247406,1.5309747517108918
HUAYRAPATA,-1.126472517160269,-2.6857585430145265,0.13908960483968258,0.8784021139713282,-2.1240906715393066,0.03673734664916992,2.824848147854209
CAYARANI,-1.1180089422997008,-3.114737129211426,1.9141096353530884,1.0841021958453703,-2.0199825048446653,0.3109196752309799,5.0288467645645145
ICHUPAMPA,-1.0944908618927003,-3.022313928604126,1.4182097911834717,1.859422246590017,-2.7537248134613037,0.7986939907073974,4.440523719787597
CUYOCUYO,-1.0785595999823676,-2.5504908084869387,1.8576403379440307,1.4445518869482066,-2.2829172134399416,1.7944743156433105,4.40813114643097
MUNANI,-1.0239094345657915,-3.661093282699585,2.027197790145874,2.006728897332062,-3.2945865631103515,1.5843459844589234,5.688291072845459
ORCOPAMPA,-1.0135498461516008,-2.757383918762207,1.6198373079299926,1.3117871553976541,-2.4400975465774537,1.1656909942626954,4.3772212266922
ACORA,-1.0014164664528586,-5.3010663986206055,5.221739196777344,2.377655186930068,-3.8431129932403563,2.606979179382324,10.52280559539795
MACARI,-0.9373472929000854,-1.9029478073120116,0.3061726033687592,0.6633753647801746,-1.7356058835983277,0.025982865691185,2.2091204106807707
ACHOMA,-0.9297447718106783,-3.1021628379821777,3.4075292587280273,1.9204442892729348,-2.5700185775756834,1.878747820854187,6.509692096710205
QUILCAPUNCU,-0.9174798250198364,-2.622509813308716,0.7058063924312592,1.0744269523909034,-2.3453660011291504,0.547802746295929,3.328316205739975
PUYCA,-0.9118820826212566,-2.676930236816406,4.769875240325928,1.6038436541935066,-2.346196985244751,1.4418939113616944,7.446805477142334
LLALLI,-0.8539477666219074,-1.412173318862915,0.252522998303175,0.5623590163104313,-1.3709651708602906,-0.18010239899158478,1.66469631716609
SAN ANTON,-0.8348754434024587,-2.726016616821289,1.4555550336837768,1.2200404834366871,-2.324348258972168,0.867350947856903,4.181571650505066
CHONGOS ALTO,-0.813909796009893,-1.7200739622116088,1.0997877836227417,0.6443804012995358,-1.4141054153442383,-0.057183274626731874,2.8198617458343507
ICHUNA,-0.7926738619804382,-4.82604341506958,3.3479880332946776,2.189317989544408,-3.700240707397461,1.7232391357421875,8.174031448364257
